series,period,date,value,pct_change,base_period,source_table,source_level,ine_category,note,observations
Salario mediano bruto anual,2008,2008-01-01,18244.4,0.0,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2009,2009-01-01,18803.28,3.0632961347043297,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2010,2010-01-01,19017.09,4.235217381771927,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2011,2011-01-01,19303.51,5.805123764004283,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2012,2012-01-01,19040.98,4.366161671526592,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2013,2013-01-01,19029.66,4.304115235359873,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2014,2014-01-01,19263.78,5.587358312687707,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2015,2015-01-01,19466.49,6.698438973054754,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2016,2016-01-01,19432.62,6.512792966608916,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2017,2017-01-01,19830.12,8.691543706562,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2018,2018-01-01,20078.44,10.052618885795074,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2019,2019-01-01,20351.02,11.54666637433952,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2020,2020-01-01,20920.12,14.665979697879884,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2021,2021-01-01,21638.69,18.604558110981984,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2022,2022-01-01,22383.11,22.68482383635526,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2023,2023-01-01,23349.0,27.978996294753443,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
Salario mediano bruto anual,2024,2024-01-01,24497.17,34.27226984718597,2008,28191,EAES,"Ambos sexos, Total Nacional, Mediana",Salario mediano bruto anual; serie disponible 2008-2024.,
